Strategy,Accuracy,Precision,Recall,F1,NaN
Flag,1.0,1.0,1.0,1.0,0
Positive_Extra_role,0.6333333333333333,0.575,0.8214285714285714,0.6764705882352942,0
Negative_Extra_role,0.6166666666666667,0.5675675675675675,0.75,0.6461538461538462,0
Negative_prompt,0.6166666666666667,0.5862068965517241,0.6071428571428571,0.5964912280701754,0
Uncertainty_prompt,0.5833333333333334,0.56,0.5,0.5283018867924528,0
Chain_of_thoughts,0.5666666666666667,0.5238095238095238,0.7857142857142857,0.6285714285714286,0
High_stakes,0.55,0.5151515151515151,0.6071428571428571,0.5573770491803278,0
Tipping,0.55,0.5106382978723404,0.8571428571428571,0.64,0
Sceptical_role,0.55,0.5555555555555556,0.17857142857142858,0.2702702702702703,0
Scrambled_prompt,0.5333333333333333,0.0,0.0,0.0,0
Random_mistake,0.5166666666666667,0.46153846153846156,0.21428571428571427,0.2926829268292683,0
Positive_prompt,0.5,0.47368421052631576,0.6428571428571429,0.5454545454545454,0
Prompt,0.5,0.4827586206896552,1.0,0.6511627906976745,0
