,Prompt,Negative_prompt,Positive_prompt,Positive_Extra_role,Negative_Extra_role,Uncertainty_prompt,Scrambled_prompt,Chain_of_thoughts,Sceptical_role,High_stakes,Tipping,Random_mistake,Flag
0,1,1,1,0,0,1,0,1,0,0,1,0,1
1,1,1,1,0,1,1,0,1,0,0,1,0,0
2,1,0,0,0,0,1,0,0,0,0,0,1,1
3,1,1,1,1,1,1,0,1,0,0,1,1,0
4,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,0,0,0,0,0,0,0,0,0,0,0,1
6,1,0,1,1,1,1,0,1,0,0,1,0,0
7,1,1,1,1,1,1,0,1,0,1,1,1,1
8,1,0,1,1,0,1,0,1,0,0,1,0,0
9,1,0,1,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,1,1,1,1,0,1,0,1,1,1,1
12,1,0,1,0,0,1,0,1,0,0,1,1,1
13,1,0,1,0,0,0,0,1,0,0,0,0,0
14,1,0,0,0,1,0,0,1,0,0,0,0,1
15,0,1,1,0,0,1,0,1,0,0,1,1,0
16,1,0,0,0,0,0,0,0,0,0,0,0,1
17,1,1,1,1,1,1,0,1,1,0,1,0,1
18,1,0,0,1,0,1,0,1,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,1
20,1,1,1,1,1,1,0,1,0,0,1,1,1
21,1,1,1,1,1,1,0,1,1,0,1,1,0
22,1,1,1,0,0,1,0,1,1,1,1,1,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,1,0,0,1,0,1,0,1,1,0,1
25,1,1,1,0,0,1,0,1,0,0,0,0,0
26,1,0,0,0,0,0,0,1,0,0,0,1,1
27,0,0,0,0,0,0,0,0,0,0,1,1,0
28,1,1,1,1,1,1,0,1,1,1,1,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,1,1,1,1,0,1,1,1,1,0,1
31,0,0,0,0,0,0,0,0,0,0,0,1,0
32,1,0,0,0,1,1,0,1,0,0,0,1,1
33,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,1,0,1,1,0,1,1,0,1,1,1
35,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,1,1,1,1,0,1,0,1,1,1,1
37,1,1,1,1,1,1,0,1,0,0,1,1,0
38,1,1,1,1,1,1,0,1,0,0,1,1,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,1,1,1,1,0,1,0,1,1,0,0
41,1,0,1,0,1,0,0,1,1,0,1,0,1
42,0,0,1,0,0,1,0,1,0,0,1,0,1
43,1,0,1,0,0,1,0,0,0,0,1,0,0
44,1,0,1,1,1,1,0,1,0,0,1,1,0
45,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1,1,1,1,1,1,0,1,0,0,1,0,1
47,1,1,1,1,1,1,0,1,0,0,1,1,0
48,1,1,1,1,1,1,0,1,0,0,1,0,0
49,1,1,1,1,1,1,0,1,0,1,0,0,0
50,1,1,1,1,1,1,0,1,0,1,1,0,0
51,1,1,1,1,1,1,0,1,0,1,1,0,0
52,1,1,1,1,1,1,0,1,1,0,1,1,1
53,1,0,1,0,0,0,0,1,0,0,0,1,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,1,1,1,1,1,0,1,0,1,1,1,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,1,1,0,1,1,0,1,0,0,1,0,1
58,0,0,0,0,0,0,0,0,1,0,1,0,1
59,1,1,1,0,1,0,0,0,0,0,1,0,0
