,Prompt,Negative_prompt,Positive_prompt,Positive_Extra_role,Negative_Extra_role,Uncertainty_prompt,Scrambled_prompt,Chain_of_thoughts,Sceptical_role,High_stakes,Tipping,Random_mistake
0,1,0,0,0,1,0,,1,1,1,0,1
1,1,0,1,1,1,1,,1,1,1,1,1
2,1,1,1,1,1,1,,1,1,1,1,1
3,1,0,0,0,1,0,,0,1,1,1,1
4,0,0,0,0,0,0,,0,0,0,0,0
5,0,0,0,0,0,0,,0,0,0,0,1
6,1,1,1,1,1,1,,1,1,1,1,1
7,1,1,1,1,1,1,,1,1,1,1,1
8,1,1,1,1,1,1,,1,1,1,1,1
9,1,1,1,1,1,1,,1,1,1,1,1
10,0,0,0,0,0,0,,0,0,0,0,0
11,1,1,1,1,1,1,,1,1,1,1,0
12,1,1,1,1,1,1,,1,1,1,1,1
13,1,1,1,1,1,1,,1,1,1,1,1
14,1,0,1,1,1,1,,1,1,1,1,1
15,0,0,0,0,1,0,1.0,0,0,0,0,1
16,1,1,1,1,1,1,,1,1,1,1,0
17,1,1,1,1,1,1,,1,1,1,1,1
18,1,0,0,0,1,0,,0,0,1,1,1
19,1,1,1,1,1,1,,1,1,1,1,1
