Rank,Strategy,Accuracy,F1,Precision,Recall
1,Chain_of_thoughts,0.75,0.8,0.7142857142857143,0.9090909090909091
2,Negative_prompt,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273
3,Positive_Extra_role,0.7,0.75,0.6923076923076923,0.8181818181818182
4,Positive_prompt,0.7,0.75,0.6923076923076923,0.8181818181818182
5,Sceptical_role,0.7,0.7692307692307693,0.6666666666666666,0.9090909090909091
6,Uncertainty_prompt,0.7,0.75,0.6923076923076923,0.8181818181818182
7,Prompt,0.65,0.7407407407407407,0.625,0.9090909090909091
8,High_stakes,0.65,0.7407407407407407,0.625,0.9090909090909091
9,Tipping,0.6,0.6923076923076923,0.6,0.8181818181818182
10,Negative_Extra_role,0.6,0.7142857142857143,0.5882352941176471,0.9090909090909091
11,Random_mistake,0.55,0.6666666666666666,0.5625,0.8181818181818182
12,Scrambled_prompt,0.0,0.0,0.0,0.0
