,Prompt,Negative_prompt,Positive_prompt,Positive_Extra_role,Negative_Extra_role,Uncertainty_prompt,Scrambled_prompt,Chain_of_thoughts,Sceptical_role,High_stakes,Tipping,Random_mistake
Prompt,1.0,0.75,0.85,0.85,0.95,0.85,0.0,0.9,0.95,1.0,0.95,0.8
Negative_prompt,0.75,1.0,0.9,0.9,0.7,0.9,0.0,0.85,0.8,0.75,0.8,0.55
Positive_prompt,0.85,0.9,1.0,1.0,0.8,1.0,0.0,0.95,0.9,0.85,0.9,0.65
Positive_Extra_role,0.85,0.9,1.0,1.0,0.8,1.0,0.0,0.95,0.9,0.85,0.9,0.65
Negative_Extra_role,0.95,0.7,0.8,0.8,1.0,0.8,1.0,0.85,0.9,0.95,0.9,0.85
Uncertainty_prompt,0.85,0.9,1.0,1.0,0.8,1.0,0.0,0.95,0.9,0.85,0.9,0.65
Scrambled_prompt,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Chain_of_thoughts,0.9,0.85,0.95,0.95,0.85,0.95,0.0,1.0,0.95,0.9,0.85,0.7
Sceptical_role,0.95,0.8,0.9,0.9,0.9,0.9,0.0,0.95,1.0,0.95,0.9,0.75
High_stakes,1.0,0.75,0.85,0.85,0.95,0.85,0.0,0.9,0.95,1.0,0.95,0.8
Tipping,0.95,0.8,0.9,0.9,0.9,0.9,0.0,0.85,0.9,0.95,1.0,0.75
Random_mistake,0.8,0.55,0.65,0.65,0.85,0.65,1.0,0.7,0.75,0.8,0.75,1.0
